ident,name,latitude_deg,longitude_deg,elevation_ft
AYGE,Geigorobi Airstrip,-4.1055,143.3056,74
AYGF,Guari Airport,-8.1286,146.8722,6450
AYGG,Garasa Airport,-7.980713,147.213461,2539
AYGH,Guhu Airstrip,-5.6957,146.1116,3
AYGI,Garaina Airport,-7.875625,147.141266,2497
AYGJ,Guasopa Airport,-9.225918,152.944352,10
AYGL,Gonaili Airport,-5.527716614,151.5733333,40
AYGM,Gema Airstrip,-6.803088,145.775866,5370
AYGN,Gurney Airport,-10.3114995956,150.333999634,88
AYGO,Gokto Airstrip,-4.9136,144.49,259
AYGP,Gusap Airport,-6.053196,145.959047,1504
AYGQ,Gawa Airstrip,-5.259,142.233,6500
AYGR,Girua Airport,-8.80453968048,148.309005737,311
AYGS,Gasuke Airport,-6.1028,141.7393,157
AYGT,Gasmata Island Airport,-6.27111005783,150.330993652,23
AYGU,Anguganak Airport,-3.560504,142.217307,937
AYGV,Green River Airport,-3.9022428989400004,141.170516968,281
AYGW,Guwasa Airport,-6.465838,145.083968,4800
AYGX,Gora Airstrip,-9.0021,148.2364,2497
AYGY,Guavi Airstrip,-6.87,142.7537,303
AYHA,Haia Airport,-6.707421,144.997398,2434
AYHB,Habi Airport,-6.32,142.4893,993
AYHE,Heiweni Airport,-7.4223,146.4276,3480
AYHF,Hayfields Airport,-3.69838,143.057902,466
AYHH,Honinabi Airport,-6.2457,142.1771,452
AYHJ,Hewa Airstrip,-5.1914,142.9595,5000
AYHK,Hoskins Airport,-5.463846,150.407327,66
AYHL,Hesalibi Airstrip,-6.6,142.3502,305
AYHN,Habina Airstrip,-6.6671,146,6200
AYHO,Haivaro Airport,-6.9406,143.059,180
AYHQ,Hauna Airstrip,-4.2994,142.2305,73
AYHT,Hotmin Airstrip,-4.5845,141.5742,196
AYHU,Hawabango Airport,-7.392994,146.003487,4563
AYHW,Haewenai Airstrip,-5.7219,141.3205,220
AYHX,Herowena Airstrip,-6.6229,145.1972,4695
AYHY,Huya Airstrip,-6.2734,142.7061,2611
AYIA,Nissan Island Airport,-4.49972009659,154.225997925,52
